assignment_id,user_id,department_id,group_id,team_id,role_id,is_primary
1,e00001,5,13,18,1,True
2,e00002,5,13,18,3,True
3,e00003,5,13,18,5,True
4,e00004,5,13,18,7,True
5,e00005,5,11,14,5,True
6,e00006,5,11,14,3,True
7,e00007,5,11,14,1,True
8,e00008,5,11,15,1,True
9,e00009,3,4,4,5,True
10,e00010,3,4,4,3,True
11,e00011,3,4,4,1,True
12,e00012,3,5,6,1,True
13,e00013,2,,,7,True
14,e00014,2,1,1,3,True
15,e00015,2,1,1,1,True
16,e00016,2,1,2,1,True
17,e00017,2,1,2,1,True
18,e00018,4,10,12,3,True
19,e00019,4,10,12,1,True
20,e00020,2,,,8,True
21,e00021,1,,,10,True
22,e00022,1,,,11,True
